datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-01-02,49290.0,49490.0,49290.0,49350.0,36142,111621,49390.0,CU2003,copper,CU2003
2020-01-03,49220.0,49250.0,48870.0,48900.0,81773,107465,49070.0,CU2003,copper,CU2003
2020-01-06,48580.0,49010.0,48560.0,48760.0,85974,112759,48810.0,CU2003,copper,CU2003
2020-01-07,48710.0,49020.0,48710.0,49010.0,57599,119226,48880.0,CU2003,copper,CU2003
2020-01-08,48860.0,48980.0,48640.0,48860.0,82785,122405,48810.0,CU2003,copper,CU2003
2020-01-09,48910.0,49170.0,48830.0,48960.0,78060,128312,48980.0,CU2003,copper,CU2003
2020-01-10,48910.0,49050.0,48850.0,49010.0,48262,134555,48940.0,CU2003,copper,CU2003
2020-01-13,48890.0,49230.0,48710.0,48940.0,84452,135429,48920.0,CU2003,copper,CU2003
2020-01-14,48850.0,49380.0,48820.0,49310.0,99744,142706,49180.0,CU2003,copper,CU2003
2020-01-15,49300.0,49610.0,49180.0,49260.0,78508,141576,49370.0,CU2003,copper,CU2003
2020-01-16,49260.0,49400.0,49160.0,49200.0,52450,141900,49270.0,CU2003,copper,CU2003
2020-01-17,49450.0,49550.0,49130.0,49250.0,77143,140603,49330.0,CU2003,copper,CU2003
2020-01-20,49300.0,49330.0,48970.0,49100.0,65995,138502,49120.0,CU2003,copper,CU2003
2020-01-21,49080.0,49080.0,48300.0,48420.0,97077,127620,48630.0,CU2003,copper,CU2003
2020-01-22,48450.0,48650.0,48280.0,48540.0,56978,121551,48480.0,CU2003,copper,CU2003
2020-01-23,48340.0,48380.0,47960.0,48020.0,58176,114727,48160.0,CU2003,copper,CU2003
2020-02-03,44780.0,45250.0,44780.0,45040.0,89818,107064,45010.0,CU2003,copper,CU2003
2020-02-04,44750.0,45290.0,44680.0,45260.0,53234,107815,45060.0,CU2003,copper,CU2003
2020-02-05,44980.0,45630.0,44980.0,45550.0,45362,108033,45400.0,CU2003,copper,CU2003
2020-02-06,45660.0,46200.0,45620.0,46040.0,35004,107093,45940.0,CU2003,copper,CU2003
2020-02-07,45830.0,45930.0,45600.0,45690.0,27048,104940,45720.0,CU2003,copper,CU2003
2020-02-10,45300.0,45590.0,45260.0,45410.0,34784,108030,45480.0,CU2003,copper,CU2003
2020-02-11,45980.0,45980.0,45450.0,45580.0,34415,110694,45610.0,CU2003,copper,CU2003
2020-02-12,45600.0,45730.0,45490.0,45580.0,29553,111420,45620.0,CU2003,copper,CU2003
2020-02-13,45600.0,45860.0,45590.0,45710.0,36413,113249,45710.0,CU2003,copper,CU2003
2020-02-14,45860.0,45960.0,45820.0,45930.0,26715,114574,45870.0,CU2003,copper,CU2003
2020-02-17,45870.0,46310.0,45840.0,46310.0,40500,109859,46050.0,CU2003,copper,CU2003
2020-02-18,46310.0,46310.0,46070.0,46120.0,30820,103316,46140.0,CU2003,copper,CU2003
2020-02-19,46100.0,46370.0,46070.0,46260.0,25667,99568,46220.0,CU2003,copper,CU2003
2020-02-20,46280.0,46400.0,46080.0,46270.0,35758,95112,46220.0,CU2003,copper,CU2003
2020-02-21,46170.0,46170.0,45840.0,45840.0,34774,92282,46060.0,CU2003,copper,CU2003
2020-02-24,45950.0,45950.0,45580.0,45830.0,32165,87503,45720.0,CU2003,copper,CU2003
2020-02-25,45900.0,45900.0,45520.0,45780.0,31732,82329,45690.0,CU2003,copper,CU2003
2020-02-26,45630.0,45630.0,45420.0,45480.0,27006,75685,45510.0,CU2003,copper,CU2003
2020-02-27,45510.0,45510.0,45250.0,45250.0,26896,67729,45350.0,CU2003,copper,CU2003
2020-02-28,45200.0,45200.0,44080.0,44180.0,33387,58768,44670.0,CU2003,copper,CU2003
2020-03-02,44180.0,45120.0,44180.0,45030.0,21873,54470,44890.0,CU2003,copper,CU2003
2020-03-03,45350.0,45780.0,45310.0,45410.0,21195,50790,45430.0,CU2003,copper,CU2003
2020-03-04,45220.0,45220.0,45030.0,45090.0,16070,48640,45100.0,CU2003,copper,CU2003
2020-03-05,45040.0,45210.0,45040.0,45140.0,14650,46380,45160.0,CU2003,copper,CU2003
2020-03-06,44900.0,44900.0,44690.0,44740.0,17415,44765,44780.0,CU2003,copper,CU2003
2020-03-09,43890.0,43890.0,43310.0,43570.0,25765,38670,43570.0,CU2003,copper,CU2003
