datetime,open,high,low,close,volume,open_interest,settle_price,symbol,variety,instrument
2020-06-18,46690.0,46690.0,46690.0,46690.0,1,1,46690.0,CU2106,copper,CU2106
2020-06-19,46780.0,47440.0,46700.0,47440.0,8,7,47070.0,CU2106,copper,CU2106
2020-06-22,47460.0,47500.0,47400.0,47500.0,3,9,47450.0,CU2106,copper,CU2106
2020-06-23,47630.0,47760.0,47420.0,47530.0,24,19,47540.0,CU2106,copper,CU2106
2020-06-24,47650.0,47730.0,47430.0,47730.0,106,116,47690.0,CU2106,copper,CU2106
2020-06-29,48110.0,48220.0,47720.0,48090.0,55,152,48130.0,CU2106,copper,CU2106
2020-06-30,48080.0,48410.0,48080.0,48410.0,53,192,48290.0,CU2106,copper,CU2106
2020-07-01,48690.0,48990.0,48690.0,48910.0,64,222,48890.0,CU2106,copper,CU2106
2020-07-02,48690.0,49190.0,48690.0,49190.0,37,254,49060.0,CU2106,copper,CU2106
2020-07-03,49050.0,49100.0,48680.0,48700.0,28,281,48890.0,CU2106,copper,CU2106
2020-07-06,48490.0,48960.0,48340.0,48960.0,114,359,48740.0,CU2106,copper,CU2106
2020-07-07,49080.0,49300.0,49080.0,49150.0,98,430,49230.0,CU2106,copper,CU2106
2020-07-08,49060.0,49650.0,49060.0,49550.0,85,455,49510.0,CU2106,copper,CU2106
2020-07-09,49310.0,50400.0,49310.0,50360.0,101,509,49980.0,CU2106,copper,CU2106
2020-07-10,50440.0,50440.0,49950.0,50030.0,56,529,50090.0,CU2106,copper,CU2106
2020-07-13,50490.0,52700.0,50490.0,52550.0,97,554,51680.0,CU2106,copper,CU2106
2020-07-14,52480.0,52590.0,51550.0,51760.0,124,572,52050.0,CU2106,copper,CU2106
2020-07-15,52030.0,52280.0,51800.0,51850.0,60,593,51950.0,CU2106,copper,CU2106
2020-07-16,51600.0,51630.0,50520.0,50560.0,65,601,50880.0,CU2106,copper,CU2106
2020-07-17,50820.0,51250.0,50820.0,51030.0,37,613,51110.0,CU2106,copper,CU2106
2020-07-20,51220.0,51260.0,50830.0,51000.0,7,615,51100.0,CU2106,copper,CU2106
2020-07-21,51140.0,51780.0,51140.0,51490.0,20,611,51520.0,CU2106,copper,CU2106
2020-07-22,51950.0,52390.0,51950.0,52060.0,77,630,52170.0,CU2106,copper,CU2106
2020-07-23,51150.0,51680.0,51150.0,51500.0,20,635,51410.0,CU2106,copper,CU2106
2020-07-24,51640.0,51750.0,50950.0,51180.0,25,634,51390.0,CU2106,copper,CU2106
2020-07-27,51380.0,51670.0,51270.0,51370.0,11,632,51420.0,CU2106,copper,CU2106
2020-07-28,51250.0,51660.0,51250.0,51350.0,6,636,51380.0,CU2106,copper,CU2106
2020-07-29,51290.0,51650.0,51290.0,51650.0,16,641,51540.0,CU2106,copper,CU2106
2020-07-30,51550.0,51630.0,51460.0,51460.0,10,641,51580.0,CU2106,copper,CU2106
2020-07-31,51100.0,51650.0,51070.0,51650.0,16,639,51230.0,CU2106,copper,CU2106
2020-08-03,51160.0,51400.0,50460.0,51020.0,25,642,50940.0,CU2106,copper,CU2106
2020-08-04,51440.0,51700.0,51430.0,51460.0,41,630,51620.0,CU2106,copper,CU2106
2020-08-05,51000.0,51490.0,51000.0,51490.0,15,637,51240.0,CU2106,copper,CU2106
2020-08-06,51730.0,51730.0,51290.0,51580.0,20,640,51590.0,CU2106,copper,CU2106
2020-08-07,52370.0,52370.0,51200.0,51420.0,7,639,51560.0,CU2106,copper,CU2106
2020-08-10,51010.0,51010.0,49720.0,50440.0,51,658,50330.0,CU2106,copper,CU2106
2020-08-11,50950.0,51030.0,50620.0,50620.0,16,646,50780.0,CU2106,copper,CU2106
2020-08-12,50610.0,50990.0,49960.0,50270.0,117,702,50450.0,CU2106,copper,CU2106
